date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:14	45944/45944	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:31:05%20GMT	http://cosmosholiday.com.bd/tours_and_attractions	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/tours_and_attractions.html	(from http://cosmosholiday.com.bd/)
18:31:20	60459/60459	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:31:10%20GMT	http://cosmosholiday.com.bd/phpackage/p/4	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/phpackage/p/4.html	(from http://cosmosholiday.com.bd/)
18:31:31	64862/64862	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:23:17%20GMT	http://cosmosholiday.com.bd/img/destination01.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/destination01.jpg	(from http://cosmosholiday.com.bd/)
18:31:32	1278/1278	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Feb%202016%2005:25:44%20GMT	http://cosmosholiday.com.bd/img/any_date.png	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/any_date.png	(from http://cosmosholiday.com.bd/)
18:31:37	45712/45712	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:31:27%20GMT	http://cosmosholiday.com.bd/phpackage/p/2	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/phpackage/p/2.html	(from http://cosmosholiday.com.bd/)
18:31:48	63620/63620	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:23:21%20GMT	http://cosmosholiday.com.bd/img/destination02.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/destination02.jpg	(from http://cosmosholiday.com.bd/)
18:31:49	1353/1353	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Feb%202016%2005:27:16%20GMT	http://cosmosholiday.com.bd/img/fixed_date.png	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/fixed_date.png	(from http://cosmosholiday.com.bd/)
18:31:54	47431/47431	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:31:45%20GMT	http://cosmosholiday.com.bd/phpackage/p/3	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/phpackage/p/3.html	(from http://cosmosholiday.com.bd/)
18:31:54	385559/385559	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202016%2008:33:46%20GMT	http://cosmosholiday.com.bd/img/slider/slider2.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/slider/slider2.jpg	(from http://cosmosholiday.com.bd/)
18:31:55	430147/430147	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202016%2008:33:38%20GMT	http://cosmosholiday.com.bd/img/slider/slider1.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/slider/slider1.jpg	(from http://cosmosholiday.com.bd/)
18:31:55	1459/1459	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Feb%202016%2005:28:26%20GMT	http://cosmosholiday.com.bd/img/fxd_date.png	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/fxd_date.png	(from http://cosmosholiday.com.bd/)
18:31:58	46567/46567	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:31:50%20GMT	http://cosmosholiday.com.bd/package/pk/1	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/package/pk/1.html	(from http://cosmosholiday.com.bd/)
18:32:06	64437/64437	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:23:24%20GMT	http://cosmosholiday.com.bd/img/destination03.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/destination03.jpg	(from http://cosmosholiday.com.bd/)
18:32:06	46544/46544	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2015:17:10%20GMT	http://cosmosholiday.com.bd/apanel/uploaded/7205.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/uploaded/7205.jpg	(from http://cosmosholiday.com.bd/)
18:32:06	55365/55365	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:23:25%20GMT	http://cosmosholiday.com.bd/img/destination04.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/destination04.jpg	(from http://cosmosholiday.com.bd/)
18:32:07	2050/2050	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Feb%202016%2007:22:52%20GMT	http://cosmosholiday.com.bd/img/badge_new.png	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/badge_new.png	(from http://cosmosholiday.com.bd/)
18:32:16	345812/345812	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:32:01%20GMT	http://cosmosholiday.com.bd/phbooking/pid/4/rid/121/packcode/ECAAL001BT	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/phbooking/pid/4/rid/121/packcode/ECAAL001BT.html	(from http://cosmosholiday.com.bd/)
